day_1,day_2,day_3,day_4,day_5
225.1231563696187,225.68450081466708,224.5725070805642,224.33857485037083,225.41799697303782
225.95796911141156,226.6455019929372,225.64341629118758,225.2343175717652,226.38242276186355
227.60684887321923,228.32969017377516,227.22887773912043,226.89927247712728,227.9711575757218
230.5252400504376,231.32117932120218,229.9747708145143,229.77632705648244,230.7979089112795
231.71740064068044,232.34798631786697,230.70091789055925,230.82134102577518,231.7294750036594
235.1175599810776,235.93628677612813,234.02823493619405,234.27929382022813,235.21119481143205
231.83847196716872,232.23591044581394,230.11869448441576,230.6585910004744,231.67225771962345
227.81252716606312,228.29211308529162,226.68112010335318,226.77790226244122,228.10835806170388
223.6271021045195,224.23728776193994,223.31463069849232,222.97096328695164,224.3761987526685
226.86642358386933,227.94868334388417,227.6093876223693,226.6108165577409,228.02580370104405
226.87152989067044,227.4868398602051,227.10006772905274,226.42502333270784,227.3488003266316
224.2233840591479,224.4132356817584,224.06021270952007,223.6407465308026,224.24275057394084
223.50936176095863,223.7249933908958,223.58225807166033,223.0554082054892,223.57921517374288
224.69135295035073,225.08239234071274,224.99244139742282,224.28593451693027,224.96055398788553
222.7770136550748,222.90902140875278,222.79895492964405,222.23074325817134,222.863435556993
220.9181055167732,220.97249596664915,221.08781279506394,220.41842926916428,220.97570811450993
219.57218675460223,219.65567739154432,219.9911055718008,219.21000628011055,219.69768738811825
217.70731165553232,217.76937957092304,218.2935646507523,217.37140453394682,217.90027099518753
217.7031596303266,217.7740285427709,218.53550924528452,217.4471852958105,217.88333879872852
221.5208477777494,221.65254584004168,222.2755404772164,221.11213797309043,221.49475447797442
218.08900628838455,217.6781754578399,217.96405661745,217.34339186779314,217.4918960893526
218.45014965684044,218.31804827553424,218.74954560447915,217.80593395762133,218.18875932413755
219.77837279727612,219.81078956301917,220.1263758882163,219.15811496769578,219.61109983731933
221.02135158327167,221.06527374409907,221.08678649221605,220.21017621654408,220.7871384701936
219.47120935755697,219.2398482860773,219.10403420920554,218.4611112914685,218.9246364713931
221.42253516704608,221.43127494603502,221.1866691662235,220.40258819468042,221.0501888927663
222.38277292003986,222.3494810960791,221.80703142661991,221.18768466588352,221.90229393728055
221.3123066401193,221.1096208303161,220.42684495251703,219.88683680351704,220.70437164683898
218.2415941149598,217.9754539806556,217.47911231703668,216.81560932640232,217.67142706648215
216.01995814064767,215.92677344312122,215.7249158777216,214.7647645502308,215.74985683745683
218.14467151442943,218.3482611909513,218.39596806859672,217.03386252992993,218.05507347527669
220.77735078198106,220.93032752331976,220.7520749234218,219.56309767253873,220.434367572339
219.89869510273854,219.66507616499348,219.16931067139444,218.48654199572061,219.1070807081856
223.70945480567238,223.71220241645463,222.96828049529663,222.23232052360072,222.98896860007267
223.40584921582595,223.26739195898804,222.12225044342938,221.68960077444473,222.54271411649376
221.14003180417748,220.9369858881119,219.74473527130345,219.41759673720787,220.43426674258552
221.5243624148706,221.558730956556,220.59620292773323,219.96770946793137,221.14070880395084
225.3883098127639,225.7774262356846,224.71668642591197,223.9167463745719,225.20178557201814
223.03837878033931,222.978990055541,221.71584171778727,221.38067281403974,222.41513206878093
223.03606329707196,223.06117710781314,221.9488340706357,221.50245354986498,222.52892924876832
226.18774211427396,226.51554684495503,225.3336384800033,224.73979084370885,225.87154360843073
228.64095162276064,228.98578577859152,227.42380325896846,227.10654604071368,228.23585368391372
229.11374953894253,229.28055796182076,227.5049063913907,227.4799078146535,228.48007775108707
230.7021890656656,231.06959468202498,229.08352221927498,229.08872215370434,230.2065208007574
233.505926009992,234.14269831276692,231.90976220394003,231.95233756734595,233.23182392622567
234.31180061253679,234.82382850494673,232.31267069671142,232.68033198851714,233.92709189026812
237.56203331163795,238.3519263982565,235.72894119128924,236.11155409511062,237.35497581180897
239.00872421028458,239.80956092621807,236.82167284141525,237.4688846247377,238.69391571461426
239.0397221573537,239.80686733137517,236.74605412736966,237.4879450492076,238.77066516232387
240.58890650041036,241.57314173473182,238.5881128936526,239.23518783659534,240.5680815552546
239.9444027161813,240.93451488470546,238.013077208507,238.63347908059228,240.0082495565084
238.22249700541744,239.16220149932803,236.5135983328522,236.9617721828098,238.40543818885212
236.1088893087687,236.9753121782768,234.83041484848638,235.04655422825357,236.45214619917022
236.05472212477548,237.0152299574661,235.28346813829978,235.25528262114017,236.56755665521325
236.52804939716313,237.4371304545175,235.9146804003829,235.82095914452546,236.91380962971806
240.1448306597191,241.1871294277932,239.58779308556927,239.61003684939897,240.3946759856488
240.3700051056104,240.97084960658364,239.1302492706635,239.62500646672777,240.034825398675
241.04516833702192,241.68600263843692,239.79751897280275,240.32488018986655,240.76621562190078
241.19304957474736,241.95285578314073,240.03231545802592,240.552190065894,241.14476652708208
240.96286244968317,241.77058079629154,239.89620249295638,240.46332304245396,241.12734458610618
241.62871333314848,242.4930727937729,240.79237013974034,241.22850563734525,241.92308579842646
241.02658685388104,241.80534545486557,240.14049137925693,240.60633204244886,241.2339000291563
240.37643660345722,241.1315110155624,239.68800345627554,240.084970195717,240.62563013705196
242.29065346260393,243.1981104407148,241.81215506428794,242.20683873002565,242.6202011075951
239.96634038968793,240.52356521909422,239.13919431022202,239.66989371233842,240.04926926086068
239.81741484380146,240.4910620278482,239.3779519643318,239.6270662745488,240.1152479302613
238.3337590373174,238.86078895661976,237.92607193444368,238.13142613165138,238.57588368498082
238.9114883173059,239.53164891819534,238.72915931451732,238.78360017927,239.2709031757022
240.52799812718462,241.13476637617467,240.35239230831544,240.37283914189567,240.76315471867022
240.92693824894414,241.32836310391434,240.34336804537918,240.63743081927146,240.83483026914232
240.4866435240083,240.69840041056182,239.66852890960388,240.0659817924996,240.17272449080616
242.88926530475015,243.4160971656082,242.35810496661784,242.5988360030457,242.80074758438468
244.6067201021105,245.19009944935638,243.84742524460978,244.2502617161287,244.50006743036954
244.6814277473122,245.09314443926237,243.55303117295608,244.1870378596356,244.37012308557524
248.1818406711671,249.00699536300183,247.28587468389006,247.90040322283528,248.1049435798899
248.78706406429137,249.52384147720295,247.32964920114986,248.3033909389844,248.4913375994667
249.86566874574265,250.717485705247,248.27901174501855,249.42392639363186,249.74267085075041
247.8850987066824,248.4162410395016,245.90993746368372,247.20552057249364,247.61075535172026
245.34292854712749,245.8984572760378,243.83607469521831,244.70440972897984,245.4050540795202
