,annual_return,annual_volatility,sharpe_ratio
RELIANCE.NS,0.1720843722165184,0.22806988320677435,0.5243321500195621
TCS.NS,0.08130442985779643,0.2180035759266685,0.13212824484808264
HDFCBANK.NS,0.06967369382617777,0.21861624952479747,0.07855634639926333
INFY.NS,0.19377988160344398,0.2243061004140887,0.6298530505529228
ICICIBANK.NS,0.03799147847454025,0.22114548818118182,-0.06560622893456046
HINDUNILVR.NS,0.30557170555543267,0.24542731508200133,1.0311472684728562
ITC.NS,0.028979535700303916,0.25080122358019336,-0.09378129804927146
KOTAKBANK.NS,0.06859280187748058,0.2478020199391757,0.06494217392348395
